tweet,tweet_clean,sentimen,tweet_clean_prep
"dalam 16 pakta integritas antara Prabowo sandi dan Ulama yg terlibat dalam ijtimak ulama sudah sangat jelas bahwa Pancasila dan NKRI itu adalah harga mati, tidak ada itu khilafah, khilafah hanyalah bualan para makhluk di kolam #UASdifitnahKejiDanBrutal #UASdifitnahKejiBalasDiTPS",pakta integritas prabowo sandi ulama terlibat ijtimak ulama pancasila nkri harga mati tidak khilafah khilafah bualan pasukan parasut makhluk kolam,positif,pakta integritas prabowo sandi ulama libat ijtimak ulama pancasila nkri harga mati tidak khilafah khilafah bual pasuk parasut makhluk kolam
"Saya dengar pak, Mbak Vidya, dari Curup. Dulu beli lipstik Purbasari harga 25 ribu. Tapi sekarang beli lipstik NYX gak cukup 25 ribu ðŸ˜­",dengar mbak vidya curup beli lipstik purbasari harga beli lipstik nyx tidak,netral,dengar mbak vidya curup beli lipstik purbasari harga beli lipstik nyx tidak
Prabowo Sejak jadi TNI puluhan tahun nggak dia ambil gajinya serupiah pun. Sandi sejak jadi Wagub jg demikian . Susah ya cari orang seperti mereka?? Yang gak ambil gaji dari hasil mereka kerja untuk negara!!  pic.twitter.com/UX372NjZnW,prabowo tni puluhan tidak ambil gajinya serupiah sandi wakil gubernur susah iya cari tidak ambil gaji hasil kerja negara,positif,prabowo tni puluh tidak ambil gaji rupiah sandi wakil gubernur susah iya cari tidak ambil gaji hasil kerja negara
Assalamu'alaikum.  Saya tahu 1 suara itu sgt berharga dlm upaya memenangkan 02 @prabowo & @sandiuno saya hrs merelakan suara dikarenakan berada di Jkt namun KTP daerah. Semoga suara saya yg tdk disertakan bisa terbalaskan dgn doa. Semoga Allah SWT mengabulkan itu. Aamiin ya Rabb https://twitter.com/sandiuno/status/1117101696696455173Â â€¦,assalamu alaikum suara berharga memenangkan merelakan suara jakarta ktp daerah semoga suara tidak disertakan terbalaskan doa semoga allah swt mengabulkan aamiin iya rabb,netral,assalamu alaikum suara harga menang rela suara jakarta ktp daerah moga suara tidak serta balas doa moga allah swt kabul aamiin iya rabb
"Jika Terpilih, Prabowo-Sandiaga Janji Tak Ambil Gaji  -  Kita tahu mereka orang-orang yang superkaya, mbok ya rendah hatilah jangan menyatakan kata2 berkonotasi angkuh !!  https://m.detik.com/news/berita/d-4509616/jika-terpilih-prabowo-sandiaga-janji-tak-ambil-gaji?utm_content=detikcom&utm_term=echobox&utm_medium=oa&utm_campaign=detikcomsocmed&utm_source=Twitter#Echobox=1555171378Â â€¦",terpilih prabowo sandiaga janji tidak ambil gaji superkaya mbok iya rendah hatilah berkonotasi angkuh,negatif,pilih prabowo sandiaga janji tidak ambil gaji superkaya mbok iya rendah hati konotasi angkuh
@prabowo apa bapak  gak menghargai relawan yg puasa dan tirakatan munajad semalam suntuk berdoa untuk kemenangan 02 ? Mhn dibalas tweet dan kontribusi ngopi rokok dll mereka yg  tirakat/mujahadah .Jika tdk maka 02 akan gagal.Ayo semua  tirakat/ munajad.In,tidak menghargai relawan puasa tirakatan munajad semalam suntuk berdoa kemenangan mohon dibalas tweet kontribusi ngopi rokok lain-lain tirakat mujahadah tidak gagal ayo tirakat munajad,negatif,tidak harga rawan puasa tirakat munajad malam suntuk doa menang mohon balas tweet kontribusi ngopi rokok lain tirakat mujahadah tidak gagal ayo tirakat munajad
Prabowo sandi menang otomatis kita ikut bersedekah bagi kaum farkir miskin dan dhuafa melalui gaji mereka berfua yg tidak akan diambil dan akan disedekahkan  #17AprilTusukPrabowoSandi,prabowo sandi menang otomatis bersedekah kaum farkir miskin dhuafa gaji berfua tidak diambil disedekahkan apriltusukprabowosandi,positif,prabowo sandi menang otomatis sedekah kaum farkir miskin dhuafa gaji berfua tidak ambil sedekah apriltusukprabowosandi
#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Kepercayaan hanya diberikan pd mrk yg berpengalaman. Seorang @jokowi memiliki wakil yg berpengalaman dibidang ekonomi. Coblos YUK 01 Yaâ€¦.   https://www.merdeka.com/uang/harapan-dan-prediksi-ekonomi-di-tangan-jokowi-maruf-amin.htmlÂ â€¦,kepercayaan mrk berpengalaman memiliki wakil berpengalaman dibidang ekonomi coblos yuk iya,positif,percaya mrk alam milik wakil alam bidang ekonomi coblos yuk iya
"UMMAT ISLAM YG WARAS DAN CERDAS PASTI SENANG BERAMAL,COBLOS PRABOWO  ANDA IKUT ANDIL DLM BERAMAL , GAJI BELIAU TDK DIAMBIL  TP UNTK AMAL***",ummat islam waras cerdas senang beramal coblos prabowo andil beramal gaji tidak diambil untk amal,negatif,ummat islam waras cerdas senang amal coblos prabowo andil amal gaji tidak ambil untk amal
"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Keberhasilan tidak hanya dibidang infrastruktur, Jokowi jg berhasil memperbaiki ekonomi Indonesia. Coblos YUK 01 Yaâ€¦.  https://kumparan.com/beritajatim/kein-ada-18-keberhasilan-ekonomi-di-era-jokowi-1546401151770458328Â â€¦",keberhasilan tidak dibidang infrastruktur jokowi berhasil memperbaiki ekonomi indonesia coblos yuk iya,positif,hasil tidak bidang infrastruktur jokowi hasil baik ekonomi indonesia coblos yuk iya
"Model ngeles petruk Sudah ketaker  Ber-busa2 didepan Sandi ngomongin ekonomi makro dg congkaknya  Untung Sandi nya sabar gak di kick balik Pantesan menteri2nya yg pintar2 pada mbodoni  , lha juragannya kyk gini pek*k nya  ..ðŸ˜¢ðŸ˜¬ #UASdifitnahKejiBalasDiTPS @prabowo @sandiuno",model berkilah petruk ketaker ber busa didepan sandi membicarakan ekonomi makro congkaknya untung sandi nya sabar tidak kick pantesan menteri nya pintar mbodoni lha juragannya gini pek nya,negatif,model kilah truk ketaker ber busa depan sandi bicara ekonomi makro congkak untung sandi nya sabar tidak kick pantesan menteri nya pintar mbodoni lha juragan gin pek nya
"Dengan memilih 02 kita sudah bersodakoh,  karna prabowo sandi menyumbangkan gaji mereka untuk negara,fakir miskin, yatim piatu, masjid. Jadikan prabowo sandi presiden dan wakil presiden RI  #SAVE_UAS",memilih bersodakoh prabowo sandi menyumbangkan gaji negara fakir miskin yatim piatu masjid jadikan prabowo sandi presiden wakil presiden,positif,pilih bersodakoh prabowo sandi sumbang gaji negara fakir miskin yatim piatu masjid jadi prabowo sandi presiden wakil presiden
Alhamdulillah Capres 02 Mau sedekahkan Gajinya Untuk Rakyat Miskin..  Disini kami Korban2 Gempa2 pasigala butuh bantuan pak.. @prabowo @sandiuno @karniilyas @rockygerung #PrabowoSandi #02MenangAdilMakmur,alhamdulillah capres sedekahkan gajinya rakyat miskin korban gempa pasigala butuh bantuan menangadilmakmur,positif,alhamdulillah capres sedekah gaji rakyat miskin korban gempa pasigala butuh bantu menangadilmakmur
"No. 5 donk mang.  Dan sayah percaya, semua saudara seperjuangan 02, ikhlas HANYA ingin negeri ini berubah jauh lebik baik lg dari sekarang. Masyarakatnya damai, tenang, aman...kesejahteraan meningkat, harga2 rendah & stabil #UASdifitnahKejiBalasDiTPS #UASdifitnahKejiBalasDiTPS",donk mang sayah percaya saudara seperjuangan ikhlas negeri berubah lebik masyarakatnya damai tenang aman kesejahteraan meningkat harga rendah stabil,netral,donk mang sayah percaya saudara juang ikhlas negeri ubah lebik masyarakat damai tenang aman sejahtera tingkat harga rendah stabil
@DivHumas_Polri  Gakan di ladenin sama pak pulisi   Karna pak pulisi di gaji sama @jokowi pake duit @jokowi bukaan sama RAKYAT!!!  lapor nya nanti aja tunggu udah ganti presiden   #UASdifitnahKejiDanBrutal #UASdifitnahKejiDanBrutal #UASdifitnahKejiDanBrut,gakan ladenin pulisi pulisi gaji pakai duit bukaan rakyat lapor nya tunggu ganti presiden,negatif,gakan ladenin pulisi pulisi gaji pakai duit buka rakyat lapor nya tunggu ganti presiden
"baguslah pendukung jokowi tebang pohon bkn dg golok/gergaji, tapi dg ranting pohon itu sendiri, jadi elektabilitas jokowi nyungseb bkn oleh lawan politiknya, tapi oleh pendukung dari dalam sendiri. TOLOL DIPELIHARA, DASAR EBONG  https://twitter.com/AkunTofa/status/1117528741809229824Â â€¦",baguslah pendukung jokowi tebang pohon golok gergaji ranting pohon elektabilitas jokowi nyungseb lawan politiknya pendukung tolol dipelihara dasar ebong,negatif,bagus dukung jokowi tebang pohon golok gergaji ranting pohon elektabilitas jokowi nyungseb lawan politik dukung tolol pelihara dasar ebong
"Memang tidak bisa kita menghendaki harga cabai sampai Rp 10.000, harga bawang sampai Rp 5.000, petaninya yang kasihan, kata Jokowi #2019JokowiKyaiMaruf #1PeriodeLagiUntukJokowi #PesonaBonoSurfing  https://twitter.com/tag_nusantara/status/1061795598209232896/photo/1 pic.twitter.com/NApI0SoReiÂ ",tidak harga cabai harga bawang petaninya kasihan jokowi jokowikyaimaruf periodelagiuntukjokowi,positif,tidak harga cabai harga bawang tani kasihan jokowi jokowikyaimaruf periodelagiuntukjokowi
Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerjasama Ekonomi  https://apahabar.com/2019/04/presiden-jokowi-dan-raja-salman-sepakat-tingkatkan-kerjasama-ekonomi/Â â€¦ via @apahabar.com,presiden jokowi raja salman sepakat tingkatkan kerjasama ekonomi via,netral,presiden jokowi raja salman sepakat tingkat kerjasama ekonomi via
02 kelar hidupmu.. bisanya cuma harga mahal turunkan solusi 0% kubu Prabowo bahlull,kelar hidupmu bisanya harga mahal turunkan solusi kubu prabowo bahlull,negatif,kelar hidup bisa harga mahal turun solusi kubu prabowo bahlull
Tak akan terima gaji sbg presiden dan wapres. Akan disumbangkan ke negara dan fakir miskin..pertama dlm sejarah bangsa Indonesia..  DEBAT PILPRES: PERNYATAAN PENUTUP PRABOWO-SANDIAGA UNO  https://youtu.be/rMQzSqN-U3cÂ  lewat @YouTube,tidak terima gaji sbg presiden wapres disumbangkan negara fakir miskin sejarah bangsa indonesia debat pilpres pernyataan penutup prabowo sandiaga uno,positif,tidak terima gaji sbg presiden wapres sumbang negara fakir miskin sejarah bangsa indonesia debat pilpres nyata tutup prabowo sandiaga uno
"Kalau infrastructure yg di bangun pakai uang pribadi dia boleh lah yg ga mendukung untuk tidak lewat sana,, tp ini pakai pajak dr Semua Warga negara dan setiap lewat pun harus bayar.",infrastructure bangun pakai uang pribadi mendukung tidak pakai pajak warga negara bayar,positif,infrastructure bangun pakai uang pribadi dukung tidak pakai pajak warga negara bayar
"#PilihOrangBaik #PilihYgJelasIslamnya #PilihYgBajuPutih ada Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.  https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦",penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya,positif,harga anugerah bukti sosok pimpin aku integritas
"Bersatu Bersama Jokowi-KMA.   #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat.  https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]",bersatu jokowi kma pencapaian berhasil tercapai pertumbuhan ekonomi era pemerintahan meningkat,positif,satu jokowi kma capai hasil capai tumbuh ekonomi era perintah tingkat
Orang luar negeri sangat menghargai prestasi yg sudah dilakukan JOKOWI tetapi dinegaranya sendiri banyak yg mencaci,negeri menghargai prestasi jokowi dinegaranya mencaci,netral,negeri harga prestasi jokowi negara caci
"Maaf Pak , Rakyat tdk butuh pelukan , Rakyat butuh harga sembako murah ,  Listrik tarif turunkan , butuh lap kerja , bukan janji2 saja , #UASdifitnahKejiDanBrutal",maaf rakyat tidak butuh pelukan rakyat butuh harga sembilan bahan pokok murah listrik tarif turunkan butuh lap kerja janji,netral,maaf rakyat tidak butuh peluk rakyat butuh harga sembilan bahan pokok murah listrik tarif turun butuh lap kerja janji
"#GameofThrones Winter is coming Pidato Jokowi di IMF Bank Dunia  Ibaratkan Ekonomi Dunia seperti Game Of Thrones  Game of Throneâ€™, Presiden Jokowi: Penting, Kekuatan Bersama Untuk Kalahkan â€˜Evil Winterâ€™  http://setkab.go.id/seperti-game-of-throne-presiden-jokowi-penting-kekuatan-bersama-untuk-kalahkan-evil-winter/Â â€¦ â€¦ #2019TetapJokowi pic.twitter.com/B8bZPjbFFi",winter coming pidato jokowi imf bank dunia ekonomi dunia game thrones game throne presiden jokowi kekuatan kalahkan evil winter tetapjokowi,netral,winter coming pidato jokowi imf bank dunia ekonomi dunia game thrones game throne presiden jokowi kuat kalah evil winter tetapjokowi
"@VidiaAmanda3 17 April Pilih Jokowi-KMA. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Dulu sekadar ada pertumbuhan ekonomi tanpa pemerataan. Namun, di zaman Pak Jokowi bukan hanya pertumbuhan ekonomi tapi juga pemerataan pembangunan.  https://bit.l",april pilih jokowi kma pertumbuhan ekonomi pemerataan zaman jokowi pertumbuhan ekonomi pemerataan pembangunan,positif,april pilih jokowi kma tumbuh ekonomi rata zaman jokowi tumbuh ekonomi rata bangun
Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi   http://mediaindonesia.com/read/detail/229640-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomiÂ â€¦ #01OptimisIndonesiaMaju pic.twitter.com/Gudihikymw,jokowi raja salman sepakat tingkatkan kerja ekonomi optimisindonesiamaju,netral,jokowi raja salman sepakat tingkat kerja ekonomi optimisindonesiamaju
#UAHUASUAHUAS  ... Meskipun aku di surga Mungkin aku tak bahagia Bahagiaku tak sempurna Bila itu tanpamu... *Gandeng tangan prabowo  Baru jadi ustad sudah yakin masuk surga.... Ckckckck... Salah milih guru ngaji gue... #2019GantiPengajian,surga tidak bahagia bahagiaku tidak sempurna tanpamu gandeng tangan prabowo ustad masuk surga ckckckck salah milih guru ngaji gantipengajian,negatif,surga tidak bahagia bahagia tidak sempurna tanpa gandeng tangan prabowo ustad masuk surga ckckckck salah milih guru ngaji gantipengajian
"Buat anggota @KPU_ID anda tdk layak digaji, sebaiknya rasa malu diutamakan daripada isi perut. Gede bacot minim torehan prestasi.  cc @jokowi",anggota tidak layak digaji Mantri Kehutanan Lurah diutamakan isi perut gede bicara minim torehan prestasi,negatif,anggota tidak layak gaji mantri hutan lurah utama isi perut gede bicara minim toreh prestasi
"Gasah mengejek program pa jokowi , karena program ini jg tdk asal ,pasti sdh dipikirkan mateng ,seperti program kis dulu ....mari kita hargai jgn saling menghujat .",gasah mengejek program jokowi program tidak dipikirkan mateng program kis mari hargai menghujat,netral,gasah ejek program jokowi program tidak pikir mateng program kis mari harga hujat
Monggo silahkan..itu hak anda...hargai juga kami yg inginkan perubahan lebih baik...,monggo silahkan hak hargai perubahan,netral,monggo silah hak harga ubah
"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.   https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦",penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya,positif,harga anugerah bukti sosok pimpin aku integritas
"He, he, he, sok bijak nih antek ORBA! Pikirkan Letjen pecatan yang bilang biang kerok ekonomi Indonesia adalah Presiden sebelum Jokowi, ada Jenderal SBY! Gimana demokrat ngga beralih dukungan ke Jokowi coba?",sok bijak antek orba pikirkan letnan jenderal pecatan bilang biang kerok ekonomi indonesia presiden jokowi jenderal sby demokrat tidak beralih dukungan jokowi coba,negatif,sok bijak antek orba pikir letnan jenderal pecat bilang biang kerok ekonomi indonesia presiden jokowi jenderal sby demokrat tidak alih dukung jokowi coba
Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi:  http://metrobali.com/presiden-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomi/Â â€¦ via @metrobali,presiden jokowi raja salman sepakat tingkatkan kerja ekonomi via,netral,presiden jokowi raja salman sepakat tingkat kerja ekonomi via
"gue kasih tau..Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.Â  https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦Â #PilihOrangBaikÂ #PilihJelasIslamnyaÂ #PilihBajuPutih",kasih penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya,netral,kasih harga anugerah bukti sosok pimpin aku integritas
Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi  https://www.balinetizen.com/2019/04/14/presiden-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomi/Â â€¦ via @Bali Netizen,presiden jokowi raja salman sepakat tingkatkan kerja ekonomi via netizen,netral,presiden jokowi raja salman sepakat tingkat kerja ekonomi via netizen
"Dalam penjelasannya Kyai @KHMarufAmin_ mau menjadi cawapres karna @jokowi punya komitmen terkait ekonomi umat dgn apa yg disebutnya sebagai arus baru ekonomi Indonesia, membangun ekonomi dri bawah.   https://bit.ly/2Zbe65vÂ  #PilihOrangBaik #PilihYgJelasIslamnya #PilihYgBajuPutih",penjelasannya kyai cawapres komitmen terkait ekonomi umat disebutnya arus ekonomi indonesia membangun ekonomi,positif,jelas kyai cawapres komitmen kait ekonomi umat sebut arus ekonomi indonesia bangun ekonomi
"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Menterinya aja berprestasi, apalagi pemimpinnya. Bisa dikatakan, era @jokowi lah dimana sejumlah menterinya banyak meraih penghargaan.  https://bit.ly/2IpbIDdÂ ",menterinya berprestasi pemimpinnya era menterinya meraih penghargaan,positif,menteri prestasi pimpin era menteri raih harga
#PopulerB1 4: Jokowi: Naikkan Tax Ratio Drastis Bisa Guncang Ekonomi  http://brt.st/6b4KÂ ,jokowi naikkan tax ratio drastis guncang ekonomi,negatif,jokowi naik tax ratio drastis guncang ekonomi
"Lalu berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat. #PilihOrangBaik #PilihYgJelasIslamnya #PilihYgBajuPutih  https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]",pencapaian berhasil tercapai pertumbuhan ekonomi era pemerintahan meningkat,positif,capai hasil capai tumbuh ekonomi era perintah tingkat
"Disitu pak jokowi hanya membahas game online bagi pemain profesional, bahkan sekarang udah ada piala presiden Mobile legend, dan hadiahnya sangat besar. Jika kita mau bersaing didunia online seperti game, ekonomi kita juga akan naik.",disitu jokowi membahas game online pemain profesional piala presiden mobile legend hadiahnya bersaing didunia online game ekonomi,negatif,situ jokowi bahas game online main profesional piala presiden mobile legend hadiah saing dunia online game ekonomi
"@Jokowi @KHMarufAmin_ 17 April Pilih Jokowi-KMA. Pada ngerti kan kalo Pak Jokowi belajar ngaji sejak sebelum jadi pejabat. Murni mendalami agama, tanpa unsur pencitraan. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih",april pilih jokowi kma mengerti jokowi belajar ngaji pejabat murni mendalami agama unsur pencitraan,positif,april pilih jokowi kma erti jokowi ajar ngaji jabat murni dalam agama unsur citra
#Repost from sandiuno (repost_media_app)  Prabowo-Sandi tidak ingin gagal fokus. Kita ingin pembangunan besar-besaran ini berdampak langsung pada ekonomi dan kesejahteraanâ€¦  https://www.instagram.com/fely_irzahn/p/BwQN4Ubgziz/?utm_source=ig_twitter_share&igshid=4xvs93h4zmduÂ â€¦,from sandiuno repost media app prabowo sandi tidak gagal fokus pembangunan besaran berdampak ekonomi kesejahteraan,positif,from sandiuno repost media app prabowo sandi tidak gagal fokus bangun besar dampak ekonomi sejahtera
Alasan Prabowo-Sandi Tak Terima Gaji Jika Menang: Negara Sedang Susah  https://kumparan.com/@kumparannews/alasan-prabowo-sandi-tak-terima-gaji-jika-menang-negara-sedang-susah-1qsiM359eYk?utm_medium=post&utm_source=Facebook&utm_campaign=intÂ â€¦,alasan prabowo sandi tidak terima gaji menang negara susah,negatif,alas prabowo sandi tidak terima gaji menang negara susah
"He, he, he, pikirkan Letjen pecatan yang bilang biang kerok ekonomi presiden2 sebelum Jokowi ada Jenderal SBY ada Jenderal Soeharto yg bintang nya sampe lima, dungu!",pikirkan letnan jenderal pecatan bilang biang kerok ekonomi presiden jokowi jenderal sby jenderal soeharto bintang nya dungu,negatif,pikir letnan jenderal pecat bilang biang kerok ekonomi presiden jokowi jenderal sby jenderal soeharto bintang nya dungu
